"Plot Title: 20187020"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20187020, SEN S/N: 20187020, LBL: Pruth04)","Coupler Detached (LGR S/N: 20187020)","Coupler Attached (LGR S/N: 20187020)","Stopped (LGR S/N: 20187020)","End Of File (LGR S/N: 20187020)"
1,03/17/18 02:10:00 PM,8.419,Logged,,,
2,03/17/18 02:20:00 PM,8.045,,,,
3,03/17/18 02:30:00 PM,6.712,,,,
4,03/17/18 02:40:00 PM,6.712,,,,
5,03/17/18 02:50:00 PM,6.763,,,,
6,03/17/18 03:00:00 PM,6.712,,,,
7,03/17/18 03:10:00 PM,6.737,,,,
8,03/17/18 03:20:00 PM,6.737,,,,
9,03/17/18 03:30:00 PM,6.712,,,,
10,03/17/18 03:40:00 PM,6.661,,,,
11,03/17/18 03:50:00 PM,6.585,,,,
12,03/17/18 04:00:00 PM,6.611,,,,
13,03/17/18 04:10:00 PM,6.636,,,,
14,03/17/18 04:20:00 PM,6.661,,,,
15,03/17/18 04:30:00 PM,6.737,,,,
16,03/17/18 04:40:00 PM,6.636,,,,
17,03/17/18 04:50:00 PM,6.763,,,,
18,03/17/18 05:00:00 PM,6.864,,,,
19,03/17/18 05:10:00 PM,6.914,,,,
20,03/17/18 05:20:00 PM,6.839,,,,
21,03/17/18 05:30:00 PM,6.839,,,,
22,03/17/18 05:40:00 PM,6.813,,,,
23,03/17/18 05:50:00 PM,6.788,,,,
24,03/17/18 06:00:00 PM,6.788,,,,
25,03/17/18 06:10:00 PM,6.889,,,,
26,03/17/18 06:20:00 PM,6.864,,,,
27,03/17/18 06:30:00 PM,6.864,,,,
28,03/17/18 06:40:00 PM,6.813,,,,
29,03/17/18 06:50:00 PM,6.864,,,,
30,03/17/18 07:00:00 PM,6.914,,,,
31,03/17/18 07:10:00 PM,6.839,,,,
32,03/17/18 07:20:00 PM,6.889,,,,
33,03/17/18 07:30:00 PM,6.940,,,,
34,03/17/18 07:40:00 PM,6.914,,,,
35,03/17/18 07:50:00 PM,6.864,,,,
36,03/17/18 08:00:00 PM,6.889,,,,
37,03/17/18 08:10:00 PM,6.864,,,,
38,03/17/18 08:20:00 PM,6.687,,,,
39,03/17/18 08:30:00 PM,6.712,,,,
40,03/17/18 08:40:00 PM,6.712,,,,
41,03/17/18 08:50:00 PM,6.585,,,,
42,03/17/18 09:00:00 PM,6.560,,,,
43,03/17/18 09:10:00 PM,6.611,,,,
44,03/17/18 09:20:00 PM,6.560,,,,
45,03/17/18 09:30:00 PM,6.560,,,,
46,03/17/18 09:40:00 PM,6.585,,,,
47,03/17/18 09:50:00 PM,6.560,,,,
