"Plot Title: 20187026"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20187026, SEN S/N: 20187026, LBL: Pruth10)","Coupler Detached (LGR S/N: 20187026)","Coupler Attached (LGR S/N: 20187026)","Stopped (LGR S/N: 20187026)","End Of File (LGR S/N: 20187026)"
1,03/17/18 02:20:00 PM,6.965,Logged,,,
2,03/17/18 02:30:00 PM,7.242,,,,
3,03/17/18 02:40:00 PM,7.192,,,,
4,03/17/18 02:50:00 PM,7.268,,,,
5,03/17/18 03:00:00 PM,7.242,,,,
6,03/17/18 03:10:00 PM,7.242,,,,
7,03/17/18 03:20:00 PM,7.293,,,,
8,03/17/18 03:30:00 PM,7.293,,,,
9,03/17/18 03:40:00 PM,7.293,,,,
10,03/17/18 03:50:00 PM,7.318,,,,
11,03/17/18 04:00:00 PM,7.318,,,,
12,03/17/18 04:10:00 PM,7.293,,,,
13,03/17/18 04:20:00 PM,7.318,,,,
14,03/17/18 04:30:00 PM,7.293,,,,
15,03/17/18 04:40:00 PM,7.268,,,,
16,03/17/18 04:50:00 PM,7.293,,,,
17,03/17/18 05:00:00 PM,7.268,,,,
18,03/17/18 05:10:00 PM,7.268,,,,
19,03/17/18 05:20:00 PM,7.217,,,,
20,03/17/18 05:30:00 PM,7.167,,,,
21,03/17/18 05:40:00 PM,7.167,,,,
22,03/17/18 05:50:00 PM,7.167,,,,
23,03/17/18 06:00:00 PM,7.116,,,,
24,03/17/18 06:10:00 PM,7.116,,,,
25,03/17/18 06:20:00 PM,7.091,,,,
26,03/17/18 06:30:00 PM,7.041,,,,
27,03/17/18 06:40:00 PM,7.041,,,,
28,03/17/18 06:50:00 PM,7.015,,,,
29,03/17/18 07:00:00 PM,7.015,,,,
30,03/17/18 07:10:00 PM,6.990,,,,
31,03/17/18 07:20:00 PM,6.965,,,,
32,03/17/18 07:30:00 PM,6.965,,,,
33,03/17/18 07:40:00 PM,6.965,,,,
34,03/17/18 07:50:00 PM,6.940,,,,
35,03/17/18 08:00:00 PM,6.889,,,,
36,03/17/18 08:10:00 PM,6.839,,,,
37,03/17/18 08:20:00 PM,6.839,,,,
38,03/17/18 08:30:00 PM,6.839,,,,
39,03/17/18 08:40:00 PM,6.763,,,,
40,03/17/18 08:50:00 PM,6.763,,,,
41,03/17/18 09:00:00 PM,6.788,,,,
42,03/17/18 09:10:00 PM,6.763,,,,
43,03/17/18 09:20:00 PM,6.763,,,,
44,03/17/18 09:30:00 PM,6.763,,,,
45,03/17/18 09:40:00 PM,6.737,,,,
46,03/17/18 09:50:00 PM,6.737,,,,
47,03/17/18 10:00:00 PM,6.763,,,,
48,03/17/18 10:10:00 PM,6.737,,,,
49,03/17/18 10:20:00 PM,6.763,,,,
50,03/17/18 10:30:00 PM,6.763,,,,
51,03/17/18 10:40:00 PM,6.763,,,,
52,03/17/18 10:50:00 PM,6.763,,,,
53,03/17/18 11:00:00 PM,6.788,,,,
54,03/17/18 11:10:00 PM,6.813,,,,
55,03/17/18 11:20:00 PM,6.839,,,,
56,03/17/18 11:30:00 PM,6.864,,,,
57,03/17/18 11:40:00 PM,6.889,,,,
58,03/17/18 11:50:00 PM,6.864,,,,
59,03/18/18 12:00:00 AM,6.839,,,,
60,03/18/18 12:10:00 AM,6.889,,,,
61,03/18/18 12:20:00 AM,6.914,,,,
62,03/18/18 12:30:00 AM,6.965,,,,
63,03/18/18 12:40:00 AM,6.914,,,,
64,03/18/18 12:50:00 AM,6.965,,,,
65,03/18/18 01:00:00 AM,6.965,,,,
66,03/18/18 01:10:00 AM,6.990,,,,
67,03/18/18 01:20:00 AM,7.066,,,,
68,03/18/18 01:30:00 AM,7.091,,,,
69,03/18/18 01:40:00 AM,7.116,,,,
70,03/18/18 01:50:00 AM,7.167,,,,
71,03/18/18 02:00:00 AM,7.217,,,,
72,03/18/18 02:10:00 AM,7.217,,,,
73,03/18/18 02:20:00 AM,7.217,,,,
74,03/18/18 02:30:00 AM,7.192,,,,
75,03/18/18 02:40:00 AM,7.368,,,,
76,03/18/18 02:50:00 AM,7.343,,,,
77,03/18/18 03:00:00 AM,7.393,,,,
78,03/18/18 03:10:00 AM,7.419,,,,
79,03/18/18 03:20:00 AM,7.393,,,,
80,03/18/18 03:30:00 AM,7.419,,,,
81,03/18/18 03:40:00 AM,7.419,,,,
82,03/18/18 03:50:00 AM,7.419,,,,
83,03/18/18 04:00:00 AM,7.419,,,,
84,03/18/18 04:10:00 AM,7.419,,,,
85,03/18/18 04:20:00 AM,7.393,,,,
86,03/18/18 04:30:00 AM,7.393,,,,
87,03/18/18 04:40:00 AM,7.343,,,,
88,03/18/18 04:50:00 AM,7.343,,,,
89,03/18/18 05:00:00 AM,7.318,,,,
90,03/18/18 05:10:00 AM,7.318,,,,
91,03/18/18 05:20:00 AM,7.318,,,,
92,03/18/18 05:30:00 AM,7.318,,,,
93,03/18/18 05:40:00 AM,7.318,,,,
94,03/18/18 05:50:00 AM,7.318,,,,
95,03/18/18 06:00:00 AM,7.318,,,,
96,03/18/18 06:10:00 AM,7.268,,,,
97,03/18/18 06:20:00 AM,7.293,,,,
98,03/18/18 06:30:00 AM,7.318,,,,
99,03/18/18 06:40:00 AM,7.268,,,,
100,03/18/18 06:50:00 AM,7.268,,,,
101,03/18/18 07:00:00 AM,7.242,,,,
102,03/18/18 07:10:00 AM,7.217,,,,
103,03/18/18 07:20:00 AM,7.142,,,,
104,03/18/18 07:30:00 AM,7.116,,,,
105,03/18/18 07:40:00 AM,7.091,,,,
106,03/18/18 07:50:00 AM,7.041,,,,
107,03/18/18 08:00:00 AM,7.015,,,,
108,03/18/18 08:10:00 AM,6.990,,,,
109,03/18/18 08:20:00 AM,6.990,,,,
110,03/18/18 08:30:00 AM,6.940,,,,
111,03/18/18 08:40:00 AM,6.914,,,,
112,03/18/18 08:50:00 AM,6.940,,,,
113,03/18/18 09:00:00 AM,6.889,,,,
114,03/18/18 09:10:00 AM,6.889,,,,
115,03/18/18 09:20:00 AM,6.864,,,,
116,03/18/18 09:30:00 AM,6.864,,,,
117,03/18/18 09:40:00 AM,6.839,,,,
118,03/18/18 09:50:00 AM,6.839,,,,
119,03/18/18 10:00:00 AM,6.813,,,,
120,03/18/18 10:10:00 AM,6.813,,,,
121,03/18/18 10:20:00 AM,6.813,,,,
122,03/18/18 10:30:00 AM,6.813,,,,
123,03/18/18 10:40:00 AM,6.813,,,,
124,03/18/18 10:50:00 AM,6.813,,,,
125,03/18/18 11:00:00 AM,6.839,,,,
126,03/18/18 11:10:00 AM,6.839,,,,
127,03/18/18 11:20:00 AM,6.813,,,,
128,03/18/18 11:30:00 AM,6.864,,,,
129,03/18/18 11:40:00 AM,6.839,,,,
130,03/18/18 11:50:00 AM,6.889,,,,
131,03/18/18 12:00:00 PM,6.889,,,,
132,03/18/18 12:10:00 PM,6.889,,,,
133,03/18/18 12:20:00 PM,6.889,,,,
134,03/18/18 12:30:00 PM,6.864,,,,
135,03/18/18 12:40:00 PM,6.914,,,,
136,03/18/18 12:50:00 PM,6.940,,,,
137,03/18/18 01:00:00 PM,6.940,,,,
138,03/18/18 01:10:00 PM,6.940,,,,
139,03/18/18 01:20:00 PM,7.015,,,,
140,03/18/18 01:30:00 PM,7.041,,,,
141,03/18/18 01:40:00 PM,7.066,,,,
142,03/18/18 01:50:00 PM,7.041,,,,
143,03/18/18 02:00:00 PM,7.041,,,,
144,03/18/18 02:10:00 PM,7.091,,,,
145,03/18/18 02:20:00 PM,7.066,,,,
146,03/18/18 02:30:00 PM,7.066,,,,
147,03/18/18 02:40:00 PM,7.116,,,,
148,03/18/18 02:50:00 PM,7.167,,,,
149,03/18/18 03:00:00 PM,7.192,,,,
150,03/18/18 03:10:00 PM,7.167,,,,
151,03/18/18 03:20:00 PM,7.167,,,,
152,03/18/18 03:30:00 PM,7.293,,,,
153,03/18/18 03:40:00 PM,7.343,,,,
154,03/18/18 03:50:00 PM,7.368,,,,
155,03/18/18 04:00:00 PM,7.318,,,,
156,03/18/18 04:10:00 PM,7.343,,,,
157,03/18/18 04:20:00 PM,7.343,,,,
158,03/18/18 04:30:00 PM,7.293,,,,
159,03/18/18 04:40:00 PM,7.318,,,,
160,03/18/18 04:50:00 PM,7.293,,,,
161,03/18/18 05:00:00 PM,7.293,,,,
162,03/18/18 05:10:00 PM,7.293,,,,
163,03/18/18 05:20:00 PM,7.293,,,,
164,03/18/18 05:30:00 PM,7.293,,,,
165,03/18/18 05:40:00 PM,7.268,,,,
166,03/18/18 05:50:00 PM,7.268,,,,
167,03/18/18 06:00:00 PM,7.268,,,,
168,03/18/18 06:10:00 PM,7.268,,,,
169,03/18/18 06:20:00 PM,7.268,,,,
170,03/18/18 06:30:00 PM,7.268,,,,
171,03/18/18 06:40:00 PM,7.242,,,,
172,03/18/18 06:50:00 PM,7.217,,,,
173,03/18/18 07:00:00 PM,7.192,,,,
174,03/18/18 07:10:00 PM,7.167,,,,
175,03/18/18 07:20:00 PM,7.167,,,,
176,03/18/18 07:30:00 PM,7.192,,,,
177,03/18/18 07:40:00 PM,7.167,,,,
178,03/18/18 07:50:00 PM,7.116,,,,
179,03/18/18 08:00:00 PM,7.142,,,,
180,03/18/18 08:10:00 PM,7.066,,,,
181,03/18/18 08:20:00 PM,7.041,,,,
182,03/18/18 08:30:00 PM,7.041,,,,
183,03/18/18 08:40:00 PM,7.015,,,,
184,03/18/18 08:50:00 PM,6.990,,,,
185,03/18/18 09:00:00 PM,6.990,,,,
186,03/18/18 09:10:00 PM,6.940,,,,
187,03/18/18 09:20:00 PM,6.914,,,,
188,03/18/18 09:30:00 PM,6.914,,,,
189,03/18/18 09:40:00 PM,6.889,,,,
190,03/18/18 09:50:00 PM,6.889,,,,
191,03/18/18 10:00:00 PM,6.864,,,,
192,03/18/18 10:10:00 PM,6.839,,,,
193,03/18/18 10:20:00 PM,6.864,,,,
194,03/18/18 10:30:00 PM,6.914,,,,
195,03/18/18 10:40:00 PM,6.914,,,,
196,03/18/18 10:50:00 PM,6.889,,,,
197,03/18/18 11:00:00 PM,6.864,,,,
198,03/18/18 11:10:00 PM,6.889,,,,
199,03/18/18 11:20:00 PM,6.889,,,,
200,03/18/18 11:30:00 PM,6.889,,,,
201,03/18/18 11:40:00 PM,6.889,,,,
202,03/18/18 11:50:00 PM,6.889,,,,
203,03/19/18 12:00:00 AM,6.940,,,,
204,03/19/18 12:10:00 AM,6.965,,,,
205,03/19/18 12:20:00 AM,6.914,,,,
206,03/19/18 12:30:00 AM,6.965,,,,
207,03/19/18 12:40:00 AM,6.940,,,,
208,03/19/18 12:50:00 AM,6.965,,,,
209,03/19/18 01:00:00 AM,6.965,,,,
210,03/19/18 01:10:00 AM,6.990,,,,
211,03/19/18 01:20:00 AM,6.990,,,,
212,03/19/18 01:30:00 AM,7.015,,,,
213,03/19/18 01:40:00 AM,7.015,,,,
214,03/19/18 01:50:00 AM,7.015,,,,
215,03/19/18 02:00:00 AM,7.041,,,,
216,03/19/18 02:10:00 AM,7.041,,,,
217,03/19/18 02:20:00 AM,7.116,,,,
218,03/19/18 02:30:00 AM,7.142,,,,
219,03/19/18 02:40:00 AM,7.192,,,,
220,03/19/18 02:50:00 AM,7.167,,,,
221,03/19/18 03:00:00 AM,7.192,,,,
222,03/19/18 03:10:00 AM,7.192,,,,
223,03/19/18 03:20:00 AM,7.268,,,,
224,03/19/18 03:30:00 AM,7.318,,,,
225,03/19/18 03:40:00 AM,7.343,,,,
226,03/19/18 03:50:00 AM,7.343,,,,
227,03/19/18 04:00:00 AM,7.393,,,,
228,03/19/18 04:10:00 AM,7.393,,,,
229,03/19/18 04:20:00 AM,7.343,,,,
230,03/19/18 04:30:00 AM,7.368,,,,
231,03/19/18 04:40:00 AM,7.318,,,,
